Id,SalePrice
1461,118738.60389346846
1462,178006.16328254118
1463,187159.60913321792
1464,218282.00053576828
1465,191040.98936344418
1466,186952.8064112931
1467,170114.06622311624
1468,189512.55315368104
1469,183398.00632073253
1470,136935.77053648635
1471,235808.4156102781
1472,109425.45969759296
1473,110000.45612138776
1474,145520.36677119957
1475,112420.4184628314
1476,371110.54313309514
1477,247691.91082855902
1478,324651.1891282804
1479,307297.45183882734
1480,435622.97117767367
1481,324281.9992475546
1482,228806.36568368692
1483,194758.63573569676
1484,196036.7249697071
1485,209637.56009189037
1486,222005.61965147906
1487,332833.4891045925
1488,250306.66744662786
1489,198090.9913496338
1490,256011.9457454748
1491,226165.86770556722
1492,99544.2085999716
1493,212277.66549778305
1494,287476.0430982067
1495,271806.371083542
1496,269832.90889935393
1497,190902.38729534397
1498,184899.3208427636
1499,169109.02855149438
1500,183561.64336678656
1501,202753.13991033452
1502,176543.14205310363
1503,285518.1497609846
1504,253886.35733529564
1505,241378.75125741732
1506,195844.92549186328
1507,235909.55623265987
1508,196673.63415634682
1509,141841.27732488542
1510,160645.6602526193
1511,153466.49471119742
1512,180609.27735861135
1513,145386.4823256233
1514,139092.06502158663
1515,160430.0026022351
1516,141441.83316284925
1517,159980.50200818788
1518,147104.28300512765
1519,234561.47480435236
1520,142324.45803249127
1521,142673.81220725147
1522,181099.90985927402
1523,104251.90738007933
1524,110455.65918976969
1525,104948.97891748272
1526,113941.18864515558
1527,98458.48407238346
1528,106861.31421635197
1529,130953.78175584297
1530,187836.90261786705
1531,136722.3687871115
1532,100986.80034962295
1533,140048.5482591364
1534,105562.82275539357
1535,116547.00986238247
1536,99189.27914850475
1537,99602.26162255708
1538,122093.9830720455
1539,177176.5237047892
1540,156925.11670870334
1541,124167.74238002962
1542,107985.89020115427
1543,131628.91111942448
1544,103572.79077172752
1545,101628.24243747938
1546,118387.38895883303
1547,121486.38380528567
1548,106600.84713100798
1549,103328.85452597133
1550,115723.7500865535
1551,117062.71604368053
1552,128414.77344295659
1553,119570.51637002363
1554,102571.04701984543
1555,181190.07555220922
1556,111638.36995900318
1557,99606.68135389824
1558,104667.0883638509
1559,120713.24058631936
1560,125998.31698405699
1561,138387.98567932448
1562,123987.72952613121
1563,121080.32874054906
1564,186906.69954102908
1565,138543.66244068375
1566,217750.5135907794
1567,99389.15557637445
1568,260337.42912752114
1569,139295.8864018532
1570,122645.09621272997
1571,106557.28541922092
1572,134344.00975641212
1573,237900.42955122262
1574,128737.89277877675
1575,235685.69153789192
1576,277263.54746914323
1577,185930.71600729716
1578,118506.77425653093
1579,138026.05764641555
1580,196862.76951457508
1581,132401.3510397766
1582,119187.7769405525
1583,305928.3311859854
1584,248905.20586219392
1585,177571.34120100638
1586,118730.52175066026
1587,103377.95253252641
1588,143744.884634798
1589,103941.91496831247
1590,132299.5223390045
1591,100159.30524234129
1592,114863.38501635977
1593,115634.7859152251
1594,173049.90558056065
1595,117727.12690250689
1596,181000.46344979157
1597,195788.96088835938
1598,191529.938940449
1599,182496.42354039734
1600,175825.0111169077
1601,106257.68153507226
1602,102579.56014201505
1603,101624.73317297638
1604,282933.25772632903
1605,239241.05721116875
1606,160333.01890530833
1607,202212.3063369881
1608,245215.777842789
1609,181843.4340480495
1610,160881.0839240449
1611,136122.37387251342
1612,194374.3024493343
1613,179830.74957061757
1614,140347.66054433552
1615,100010.74596345455
1616,102213.7726721233
1617,102620.5832831723
1618,104747.80868390587
1619,136996.59421906227
1620,244513.16029060868
1621,124236.43047170043
1622,139016.02545546048
1623,235052.39803728703
1624,250050.54607445362
1625,121504.1177829364
1626,198537.70375196473
1627,206300.47742980297
1628,289809.4605037147
1629,178859.0034866395
1630,323952.8019535516
1631,208211.92272034602
1632,220335.7300138865
1633,188105.65408082822
1634,197146.56319905174
1635,182965.50041793275
1636,164990.23871424244
1637,193566.3917383454
1638,208437.37453659638
1639,184630.8099331815
1640,228698.7235787093
1641,186020.6434477639
1642,248284.49533705972
1643,240078.98888080375
1644,232538.0934720998
1645,232490.7738315286
1646,176857.29207494063
